"Workspace";"Período";"Orçamento";"Valor gasto";"Valor gasto (%)";"Impressões";"Impressões (%)";"CPM";"CPM (%)";"Cliques";"Cliques (%)";"CPC";"CPC (%)";"Visitas";"Visitas (%)";"CPV";"CPV (%)";"Leads (MQL + SQL)";"Leads (MQL + SQL) (%)";"CPL";"CPL (%)";"Leads (SQL)";"Leads (SQL) (%)";"CPL";"CPL (%)";"Vendas";"Vendas (%)";"CPA";"CPA (%)";"Receita";"Receita (%)";"ROAS";"ROAS (%)";"Ticket Médio";"Ticket Médio (%)"
"TESTE";"";"R$ 0,00";"R$ 748,55";"";"66.812";"";"R$ 11,2";"";"503";"";"R$ 1,49";"";"0";"";"R$ 0,0";"";"0";"";"R$ 0,0";"";"0";"";"R$ 0,0";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"Nexora";"";"R$ 0,00";"R$ 30.954,78";"";"3.161.721";"";"R$ 9,79";"";"19.183";"";"R$ 1,61";"";"0";"";"R$ 0,0";"";"267";"";"R$ 115,94";"";"267";"";"R$ 115,94";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"Teste Alan K";"";"R$ 0,00";"R$ 0,0";"";"0";"";"R$ 0,0";"";"0";"";"R$ 0,0";"";"0";"";"R$ 0,0";"";"1";"";"R$ 0,0";"";"2";"";"R$ 0,0";"";"Vendiq (Teste Lucas A) | 2";"";"Vendiq (Teste Lucas A) | R$ 0,0";"";"Vendiq (Teste Lucas A) | R$ 730,0";"";"Vendiq (Teste Lucas A) | 0";"";"Vendiq (Teste Lucas A) | R$ 365,0";""
"Transformação Comercial";"";"R$ 0,00";"R$ 72.133,9";"";"1.142.593";"";"R$ 63,13";"";"12.053";"";"R$ 5,98";"";"0";"";"R$ 0,0";"";"745";"";"R$ 96,8";"";"732";"";"R$ 98,52";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"TESTE CARLOS";"";"R$ 0,00";"R$ 11.136,17";"";"654.444";"";"R$ 17,02";"";"13.382";"";"R$ 0,83";"";"86.189";"";"R$ 0,13";"";"Google Analytics (Nexora – GA4) | 100";"";"Google Analytics (Nexora – GA4) | R$ 111,36";"";"Google Analytics (Nexora – GA4) | 144";"";"Google Analytics (Nexora – GA4) | R$ 77,33";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"Nexora Marketing";"";"R$ 0,00";"R$ 1.999,62";"";"34.120";"";"R$ 58,61";"";"2.769";"";"R$ 0,72";"";"0";"";"R$ 0,0";"";"6";"";"R$ 333,27";"";"6";"";"R$ 333,27";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"Produto (PRD)";"";"R$ 0,00";"R$ 71.262,62";"";"1.889.019";"";"R$ 37,72";"";"9.998";"";"R$ 7,13";"";"0";"";"R$ 0,0";"";"688";"";"R$ 103,58";"";"656";"";"R$ 108,63";"";"0";"";"R$ 0,0";"";"R$ 0,0";"";"0";"";"R$ 0,0";""
"Marketing (MKT)";"";"R$ 0,00";"R$ 1.034.894,18";"";"84.392.116";"";"R$ 12,26";"";"1.081.983";"";"R$ 0,96";"";"2.226.582";"";"R$ 0,46";"";"Conecta Hub (Conecta Hub) | 63806
Google Analytics (Nexora – GA4) | 23176";"
";"Conecta Hub (Conecta Hub) | R$ 16,22
Google Analytics (Nexora – GA4) | R$ 44,65";"";"Conecta Hub (Conecta Hub) | 5410
Google Analytics (Nexora – GA4) | 8739";"";"Conecta Hub (Conecta Hub) | R$ 191,29
Google Analytics (Nexora – GA4) | R$ 118,42";"";"Conecta CRM (Nexora MKT) | 1024";"";"Conecta CRM (Nexora MKT) | R$ 1.010,64";"";"Conecta CRM (Nexora MKT) | R$ 1.222.159,53";"";"Conecta CRM (Nexora MKT) | 1.18";"";"Conecta CRM (Nexora MKT) | R$ 1.193,52";""
